seq,send_timestamp,out_size_b,recv_timestamp,in_size_b
35.0,1603319487.2177794,122.0,1603319487.2187774,72.0
36.0,1603319487.249695,122.0,1603319487.2506921,72.0
37.0,1603319487.2806115,122.0,1603319487.2816098,72.0
38.0,1603319487.3125267,122.0,1603319487.3135242,72.0
39.0,1603319487.3444412,122.0,1603319487.345439,72.0
40.0,1603319487.3753588,122.0,1603319487.3763568,72.0
41.0,1603319487.4072733,122.0,1603319487.4082713,72.0
42.0,1603319487.4391878,122.0,1603319487.4401855,72.0
43.0,1603319487.4711337,122.0,1603319487.4731257,72.0
44.0,1603319487.5029771,122.0,1603319487.5039728,72.0
45.0,1603319487.5348892,122.0,1603319487.536885,72.0
46.0,1603319487.566836,122.0,1603319487.5687983,72.0
47.0,1603319487.598749,122.0,1603319487.600714,72.0
48.0,1603319487.6306322,122.0,1603319487.6326287,72.0
49.0,1603319487.6625483,122.0,1603319487.6635463,72.0
50.0,1603319487.6954598,122.0,1603319487.6964877,72.0
51.0,1603319487.7264132,122.0,1603319487.7284002,72.0
52.0,1603319487.758314,122.0,1603319487.7603085,72.0
53.0,1603319487.7892432,122.0,1603319487.7912366,72.0
54.0,1603319487.8201592,122.0,1603319487.8221216,72.0
55.0,1603319487.851076,122.0,1603319487.8530393,72.0
56.0,1603319487.8820019,122.0,1603319487.8879466,72.0
57.0,1603319487.897919,122.0,1603319487.8999135,72.0
58.0,1603319487.9296288,122.0,1603319487.932589,72.0
59.0,1603319487.9610221,122.0,1603319487.962019,72.0
60.0,1603319487.9929366,122.0,1603319487.9949322,72.0
61.0,1603319488.024851,122.0,1603319488.0258496,72.0
62.0,1603319488.0567658,122.0,1603319488.0577636,72.0
63.0,1603319488.0886805,122.0,1603319488.0896788,72.0
64.0,1603319488.1205955,122.0,1603319488.121593,72.0
65.0,1603319488.1505153,122.0,1603319488.1525102,72.0
66.0,1603319488.18243,122.0,1603319488.184425,72.0
67.0,1603319488.213347,122.0,1603319488.2153425,72.0
68.0,1603319488.2452617,122.0,1603319488.247258,72.0
69.0,1603319488.276212,122.0,1603319488.2791712,72.0
70.0,1603319488.3081121,122.0,1603319488.311072,72.0
71.0,1603319488.3400319,122.0,1603319488.3439841,72.0
72.0,1603319488.3712838,122.0,1603319488.3752663,72.0
73.0,1603319488.4015048,122.0,1603319488.4055243,72.0
74.0,1603319488.432599,122.0,1603319488.433453,72.0
75.0,1603319488.464371,122.0,1603319488.4653966,72.0
76.0,1603319488.4963188,122.0,1603319488.4972816,72.0
77.0,1603319488.5282335,122.0,1603319488.5291963,72.0
78.0,1603319488.5602846,122.0,1603319488.5643218,72.0
79.0,1603319488.5751755,122.0,1603319488.5801442,72.0
80.0,1603319488.6050785,122.0,1603319488.6070797,72.0
