seq,in_size_b,out_size_b,recv_timestamp,process_time,send_timestamp
90.0,122.0,72.0,1602836233.1952863,0.0007674694061279297,1602836233.1960537
91.0,122.0,72.0,1602836233.207932,0.0006227493286132812,1602836233.2085547
92.0,122.0,72.0,1602836233.2205882,0.0005917549133300781,1602836233.22118
93.0,122.0,72.0,1602836233.2329912,0.0005931854248046875,1602836233.2335844
94.0,122.0,72.0,1602836233.245741,0.0005908012390136719,1602836233.2463317
95.0,122.0,72.0,1602836233.2584877,0.0005929470062255859,1602836233.2590806
96.0,122.0,72.0,1602836233.2711713,0.0006191730499267578,1602836233.2717905
97.0,122.0,72.0,1602836233.2838273,0.0005958080291748047,1602836233.284423
98.0,122.0,72.0,1602836233.296384,0.0005979537963867188,1602836233.296982
99.0,122.0,72.0,1602836233.3095129,0.0005979537963867188,1602836233.3101108
100.0,122.0,72.0,1602836233.3223352,0.0006136894226074219,1602836233.322949
101.0,122.0,72.0,1602836233.335076,0.000591278076171875,1602836233.3356674
102.0,122.0,72.0,1602836233.3477633,0.0006456375122070312,1602836233.348409
103.0,122.0,72.0,1602836233.3601825,0.0005967617034912109,1602836233.3607793
104.0,122.0,72.0,1602836233.3727293,0.000598907470703125,1602836233.3733282
105.0,122.0,72.0,1602836233.3854902,0.0005965232849121094,1602836233.3860867
106.0,122.0,72.0,1602836233.3982148,0.0005991458892822266,1602836233.398814
107.0,122.0,72.0,1602836233.4108167,0.0006120204925537109,1602836233.4114287
108.0,122.0,72.0,1602836233.4232657,0.0005939006805419922,1602836233.4238596
109.0,122.0,72.0,1602836233.4358542,0.0005946159362792969,1602836233.4364488
110.0,122.0,72.0,1602836233.4485998,0.0005931854248046875,1602836233.449193
111.0,122.0,72.0,1602836233.4613373,0.0005996227264404297,1602836233.461937
112.0,122.0,72.0,1602836233.4739704,0.0005948543548583984,1602836233.4745653
113.0,122.0,72.0,1602836233.4865057,0.0005965232849121094,1602836233.4871023
114.0,122.0,72.0,1602836233.4992392,0.0006716251373291016,1602836233.4999108
115.0,122.0,72.0,1602836233.5121033,0.0006701946258544922,1602836233.5127735
116.0,122.0,72.0,1602836233.5249434,0.0006709098815917969,1602836233.5256143
117.0,122.0,72.0,1602836233.5377197,0.0007002353668212891,1602836233.53842
118.0,122.0,72.0,1602836233.5503016,0.00067138671875,1602836233.550973
119.0,122.0,72.0,1602836233.56295,0.0006735324859619141,1602836233.5636234
120.0,122.0,72.0,1602836233.5757952,0.0006718635559082031,1602836233.576467
121.0,122.0,72.0,1602836233.5900278,0.000667572021484375,1602836233.5906954
122.0,122.0,72.0,1602836233.6026647,0.000621795654296875,1602836233.6032865
123.0,122.0,72.0,1602836233.615508,0.0006232261657714844,1602836233.6161313
124.0,122.0,72.0,1602836233.6283615,0.0006198883056640625,1602836233.6289814
125.0,122.0,72.0,1602836233.6411395,0.0006225109100341797,1602836233.641762
126.0,122.0,72.0,1602836233.6537073,0.0005948543548583984,1602836233.6543021
127.0,122.0,72.0,1602836233.666256,0.0006074905395507812,1602836233.6668634
128.0,123.0,73.0,1602836233.6790938,0.0005941390991210938,1602836233.679688
129.0,123.0,73.0,1602836233.691955,0.0005984306335449219,1602836233.6925535
130.0,123.0,73.0,1602836233.704621,0.0006194114685058594,1602836233.7052405
131.0,123.0,73.0,1602836233.7171843,0.0005943775177001953,1602836233.7177787
132.0,123.0,73.0,1602836233.729675,0.0005946159362792969,1602836233.7302697
133.0,123.0,73.0,1602836233.7425115,0.0005962848663330078,1602836233.7431078
134.0,123.0,73.0,1602836233.7553658,0.0006139278411865234,1602836233.7559798
135.0,123.0,73.0,1602836233.7682066,0.0006012916564941406,1602836233.768808
136.0,123.0,73.0,1602836233.780766,0.0006265640258789062,1602836233.7813926
137.0,123.0,73.0,1602836233.7933347,0.0005981922149658203,1602836233.793933
138.0,123.0,73.0,1602836233.8059518,0.0005958080291748047,1602836233.8065476
139.0,123.0,73.0,1602836233.818847,0.0005934238433837891,1602836233.8194404
140.0,123.0,73.0,1602836233.83172,0.0005972385406494141,1602836233.8323174
141.0,123.0,73.0,1602836233.8442576,0.0006246566772460938,1602836233.8448822
142.0,123.0,73.0,1602836233.856918,0.0005934238433837891,1602836233.8575115
143.0,123.0,73.0,1602836233.8699598,0.0005915164947509766,1602836233.8705513
144.0,123.0,73.0,1602836233.8826165,0.0005960464477539062,1602836233.8832126
145.0,123.0,73.0,1602836233.8954544,0.0005981922149658203,1602836233.8960526
146.0,123.0,73.0,1602836233.9083438,0.0006015300750732422,1602836233.9089453
147.0,123.0,73.0,1602836233.921123,0.0006272792816162109,1602836233.9217503
148.0,123.0,73.0,1602836233.9336956,0.0005993843078613281,1602836233.934295
149.0,123.0,73.0,1602836233.946263,0.0006134510040283203,1602836233.9468765
150.0,123.0,73.0,1602836233.9590836,0.0005977153778076172,1602836233.9596813
151.0,123.0,73.0,1602836233.9719355,0.0005958080291748047,1602836233.9725313
152.0,123.0,73.0,1602836233.9847727,0.0005915164947509766,1602836233.9853642
153.0,123.0,73.0,1602836233.9974182,0.0006160736083984375,1602836233.9980342
154.0,123.0,73.0,1602836234.0099814,0.0005955696105957031,1602836234.010577
155.0,123.0,73.0,1602836234.022598,0.0005958080291748047,1602836234.0231938
156.0,123.0,73.0,1602836234.035504,0.0005972385406494141,1602836234.0361013
157.0,123.0,73.0,1602836234.0483568,0.0005960464477539062,1602836234.0489528
158.0,123.0,73.0,1602836234.0611565,0.0006167888641357422,1602836234.0617733
159.0,123.0,73.0,1602836234.0737367,0.0005962848663330078,1602836234.074333
160.0,123.0,73.0,1602836234.0863943,0.0005941390991210938,1602836234.0869884
161.0,123.0,73.0,1602836234.0992806,0.0006108283996582031,1602836234.0998914
162.0,123.0,73.0,1602836234.1121652,0.0005879402160644531,1602836234.1127532
163.0,123.0,73.0,1602836234.1250072,0.0005977153778076172,1602836234.1256049
164.0,123.0,73.0,1602836234.137779,0.0005209445953369141,1602836234.1383
165.0,123.0,73.0,1602836234.150321,0.00058746337890625,1602836234.1509085
166.0,123.0,73.0,1602836234.1632621,0.0006015300750732422,1602836234.1638637
167.0,123.0,73.0,1602836234.1759572,0.0006117820739746094,1602836234.176569
168.0,123.0,73.0,1602836234.1888356,0.0005962848663330078,1602836234.189432
169.0,123.0,73.0,1602836234.2016542,0.0005941390991210938,1602836234.2022483
170.0,123.0,73.0,1602836234.214459,0.0006246566772460938,1602836234.2150836
171.0,123.0,73.0,1602836234.2270029,0.0005970001220703125,1602836234.2275999
172.0,123.0,73.0,1602836234.2395127,0.0006971359252929688,1602836234.2402098
173.0,123.0,73.0,1602836234.252364,0.0006732940673828125,1602836234.2530372
174.0,123.0,73.0,1602836234.2652318,0.0006737709045410156,1602836234.2659056
175.0,123.0,73.0,1602836234.2780638,0.0006651878356933594,1602836234.278729
176.0,123.0,73.0,1602836234.2906759,0.0006890296936035156,1602836234.291365
177.0,123.0,73.0,1602836234.303244,0.00061798095703125,1602836234.303862
178.0,123.0,73.0,1602836234.315975,0.0006170272827148438,1602836234.316592
179.0,123.0,73.0,1602836234.3288739,0.0006144046783447266,1602836234.3294883
180.0,123.0,73.0,1602836234.3417234,0.0005950927734375,1602836234.3423185
181.0,123.0,73.0,1602836234.354443,0.0005133152008056641,1602836234.3549564
182.0,123.0,73.0,1602836234.3669531,0.0005939006805419922,1602836234.367547
183.0,123.0,73.0,1602836234.3795292,0.0005970001220703125,1602836234.3801262
184.0,123.0,73.0,1602836234.391316,0.00024127960205078125,1602836234.3915572
185.0,123.0,73.0,1602836234.4021661,0.00022935867309570312,1602836234.4023955
186.0,123.0,73.0,1602836234.413751,0.00034117698669433594,1602836234.414092
187.0,123.0,73.0,1602836234.4257243,0.0005741119384765625,1602836234.4262984
188.0,123.0,73.0,1602836234.439044,0.0006725788116455078,1602836234.4397166
189.0,123.0,73.0,1602836234.4518414,0.0006742477416992188,1602836234.4525156
190.0,123.0,73.0,1602836234.4641728,0.0006692409515380859,1602836234.464842
191.0,123.0,73.0,1602836234.4766943,0.00067901611328125,1602836234.4773734
192.0,123.0,73.0,1602836234.4893665,0.0006747245788574219,1602836234.4900413
193.0,123.0,73.0,1602836234.502188,0.0006785392761230469,1602836234.5028665
194.0,123.0,73.0,1602836234.515059,0.0006797313690185547,1602836234.5157387
195.0,123.0,73.0,1602836234.5274022,0.0006999969482421875,1602836234.5281022
196.0,123.0,73.0,1602836234.5399027,0.0006775856018066406,1602836234.5405803
197.0,123.0,73.0,1602836234.552566,0.0006785392761230469,1602836234.5532446
198.0,123.0,73.0,1602836234.565374,0.0006768703460693359,1602836234.5660508
199.0,123.0,73.0,1602836234.5781982,0.0006783008575439453,1602836234.5788765
200.0,123.0,73.0,1602836234.5906873,0.0007257461547851562,1602836234.591413
201.0,123.0,73.0,1602836234.602963,0.0006771087646484375,1602836234.60364
202.0,123.0,73.0,1602836234.6157806,0.0006780624389648438,1602836234.6164587
203.0,123.0,73.0,1602836234.6285982,0.0006811618804931641,1602836234.6292794
204.0,123.0,73.0,1602836234.641255,0.0006988048553466797,1602836234.6419537
205.0,123.0,73.0,1602836234.6537693,0.0006763935089111328,1602836234.6544456
206.0,123.0,73.0,1602836234.6661787,0.0006809234619140625,1602836234.6668596
207.0,123.0,73.0,1602836234.6789985,0.0006899833679199219,1602836234.6796885
208.0,123.0,73.0,1602836234.691801,0.000675201416015625,1602836234.6924763
209.0,123.0,73.0,1602836234.7044358,0.0007038116455078125,1602836234.7051396
210.0,123.0,73.0,1602836234.7167718,0.0006763935089111328,1602836234.7174482
