timestamp,sens_position_raw,sens_position_proc,sens_speed_raw,sens_speed_proc,sens_angle_raw,sens_angle_proc,sens_ang_vel_raw,sens_ang_vel_proc,act_force_raw,act_force_proc
1603319486.3720405,-0.00601115517769127,-0.00601115517769127,-0.45449649086863636,-0.45449649086863636,-0.009888760798611085,-0.009888760798611085,-0.7485632199394103,-0.7485632199394103,,
1603319486.3870006,-0.006738349563081088,,-0.47155383610057255,,-0.011086461950514142,,-0.7768862724571642,,-5.4068943847458915,-5.4068943847458915
1603319486.402958,-0.007445680317231947,-0.007445680317231947,-0.48755145655946164,-0.48755145655946164,-0.012251791359199888,-0.012251791359199888,-0.8034771198231155,-0.8034771198231155,,
1603319486.417918,-0.008225762647727085,,-0.5027429076093545,,-0.013537354750916874,,-0.8287955010560452,,-4.816136370634132,-4.816136370634132
1603319486.4329324,-0.009030151299902051,-0.009030151299902051,-0.5179419716438228,-0.5179419716438228,-0.014863427552606546,-0.014863427552606546,-0.8541597152906797,-0.8541597152906797,,
1603319486.4488354,-0.009807064257367786,,-0.5304507944906639,,-0.016144667125542564,,-0.8751089835630222,,-4.23054826384031,-4.23054826384031
1603319486.4647927,-0.010655785528552848,-0.010655785528552848,-0.5438014804014706,-0.5438014804014706,-0.0175448414992434,-0.0175448414992434,-0.8975033800142663,-0.8975033800142663,,
1603319486.4807498,-0.0115258678971952,,-0.5554319789543478,,-0.018980846907266223,,-0.917106684052108,,-3.6874696817970776,-3.6874696817970776
1603319486.496741,-0.012359015865626722,-0.012359015865626722,-0.5663427956099539,-0.5663427956099539,-0.020356506933344384,-0.020356506933344384,-0.935529657338996,-0.935529657338996,,
1603319486.512665,-0.013265164338602649,,-0.5763337536171177,,-0.021853354385086777,,-0.9525115112603476,,-3.167209458084516,-3.167209458084516
1603319486.5276258,-0.014129664969028325,-0.014129664969028325,-0.5857077291907211,-0.5857077291907211,-0.023282121651977298,-0.023282121651977298,-0.9684780339716154,-0.9684780339716154,,
1603319486.5435822,-0.015066797335733479,,-0.5941308659719243,,-0.02483168650633188,,-0.9829590107620044,,-2.6693165061095545,-2.6693165061095545
1603319486.558542,-0.016017406721288558,-0.016017406721288558,-0.6025627153376024,-0.6025627153376024,-0.026404420923551088,-0.026404420923551088,-0.9974938958143204,-0.9974938958143204,,
1603319486.573502,-0.016921250794294962,,-0.6090090693627527,,-0.02790066176727257,,-1.0087596184182066,,-2.1778041576892715,-2.1778041576892715
1603319486.5894594,-0.017895665305275366,-0.017895665305275366,-0.6158941049238544,-0.6158941049238544,-0.0295146771567417,-0.0295146771567417,-1.0208319944255566,-1.0208319944255566,,
1603319486.6054168,-0.018881095873153533,,-0.6213441462990252,,-0.031148008347822588,,-1.030587826825114,,-1.723973518785547,-1.723973518785547
1603319486.6213741,-0.01981311209260207,-0.01981311209260207,-0.62646155343377,-0.62646155343377,-0.03269389008806026,-0.03269389008806026,-1.0397842770298507,-1.0397842770298507,,
1603319486.6373317,-0.0208154505780961,,-0.6305521407770649,,-0.03435754493130802,,-1.0473886395158274,,-1.2911183010732028,-1.2911183010732028
1603319486.6522915,-0.0217612787892617,-0.0217612787892617,-0.6343952118107914,-0.6343952118107914,-0.03592862789058176,-0.03592862789058176,-1.0545685136141758,-1.0545685136141758,,
1603319486.6682487,-0.022776311128158967,,-0.6371919525983915,,-0.03761593751236444,,-1.0601306724029778,,-0.878751895786591,-0.878751895786591
1603319486.6842062,-0.023795818252316393,-0.023795818252316393,-0.639998122535068,-0.639998122535068,-0.0393121465882092,-0.0393121465882092,-1.065751356113851,-1.065751356113851,,
1603319486.7001636,-0.024755815436118996,,-0.6414289225110162,,-0.04091077362237998,,-1.0690884532763762,,-0.47358142759783384,-0.47358142759783384
1603319486.7151232,-0.025782101712136622,-0.025782101712136622,-0.6429646882034474,-0.6429646882034474,-0.04262131514762218,-0.04262131514762218,-1.0727075221823286,-1.0727075221823286,,
1603319486.7310808,-0.026810845213262137,,-0.6433261495633938,,-0.04433764718311391,,-1.074441845622158,,-0.10136547476534297,-0.10136547476534297
1603319486.7460406,-0.027775834437607227,-0.027775834437607227,-0.6436735542274346,-0.6436735542274346,-0.04594930995154715,-0.04594930995154715,-1.07612100383,-1.07612100383,,
1603319486.7619982,-0.02880571212437112,,-0.6429305365984762,,-0.04767110355767515,,-1.0761278067843214,,0.25183606584841023,0.25183606584841023
1603319486.7779553,-0.029770107929268836,-0.029770107929268836,-0.6422425960220058,-0.6422425960220058,-0.04928529526785163,-0.04928529526785163,-1.0761872581881764,-1.0761872581881764,,
1603319486.7929153,-0.030797696082904044,,-0.6404543142367262,,-0.05100719488095271,,-1.0745642235548118,,0.5865263852177964,0.5865263852177964
