seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
72.0,1609951086.5292912,122.0,,,inf
73.0,1609951086.539035,122.0,,,inf
74.0,1609951086.5487366,122.0,,,inf
75.0,1609951086.5593464,122.0,,,inf
76.0,1609951086.5687764,122.0,,,inf
77.0,1609951086.579342,122.0,,,inf
78.0,1609951086.5889916,122.0,,,inf
79.0,1609951086.598697,122.0,,,inf
80.0,1609951086.6092873,122.0,,,inf
81.0,1609951086.6187148,122.0,,,inf
82.0,1609951086.6292927,122.0,,,inf
83.0,1609951086.6389139,122.0,,,inf
84.0,1609951086.6485858,122.0,,,inf
85.0,1609951086.6592767,122.0,,,inf
86.0,1609951086.6687517,122.0,,,inf
87.0,1609951086.6793246,122.0,,,inf
88.0,1609951086.6890035,122.0,,,inf
89.0,1609951086.6986687,122.0,,,inf
90.0,1609951086.709298,122.0,,,inf
91.0,1609951086.718686,122.0,,,inf
92.0,1609951086.729289,122.0,,,inf
93.0,1609951086.738969,122.0,,,inf
94.0,1609951086.748673,122.0,,,inf
95.0,1609951086.7600718,122.0,,,inf
96.0,1609951086.7688448,122.0,,,inf
97.0,1609951086.7794259,122.0,,,inf
98.0,1609951086.7891748,122.0,,,inf
99.0,1609951086.7988472,122.0,,,inf
100.0,1609951086.8089046,122.0,,,inf
101.0,1609951086.8183372,122.0,,,inf
102.0,1609951086.8289766,122.0,,,inf
103.0,1609951086.8384342,122.0,,,inf
104.0,1609951086.8481987,122.0,,,inf
105.0,1609951086.8589334,122.0,,,inf
106.0,1609951086.8683228,122.0,,,inf
107.0,1609951086.8788688,122.0,,,inf
108.0,1609951086.8882074,122.0,,,inf
109.0,1609951086.89904,122.0,,,inf
110.0,1609951086.9088802,122.0,,,inf
111.0,1609951086.9182284,122.0,,,inf
112.0,1609951086.9288116,122.0,,,inf
113.0,1609951086.9395173,122.0,,,inf
114.0,1609951086.9490721,122.0,,,inf
115.0,1609951086.9588773,122.0,,,inf
116.0,1609951086.9681768,122.0,,,inf
117.0,1609951086.9787219,122.0,,,inf
118.0,1609951086.9893446,122.0,,,inf
119.0,1609951086.998983,122.0,,,inf
120.0,1609951087.0088027,122.0,,,inf
121.0,1609951087.01912,122.0,,,inf
122.0,1609951087.0287251,122.0,,,inf
123.0,1609951087.0393715,122.0,,,inf
124.0,1609951087.0489395,122.0,,,inf
125.0,1609951087.0588048,122.0,,,inf
126.0,1609951087.069104,122.0,,,inf
127.0,1609951087.0787067,122.0,,,inf
128.0,1609951087.0892847,123.0,,,inf
129.0,1609951087.0988967,123.0,,,inf
130.0,1609951087.1087525,123.0,,,inf
131.0,1609951087.1190941,123.0,,,inf
132.0,1609951087.1286745,123.0,,,inf
133.0,1609951087.1392746,123.0,,,inf
134.0,1609951087.1489131,123.0,,,inf
135.0,1609951087.1587656,123.0,,,inf
136.0,1609951087.16911,123.0,,,inf
137.0,1609951087.1787052,123.0,,,inf
138.0,1609951087.1892838,123.0,,,inf
139.0,1609951087.1989603,123.0,,,inf
140.0,1609951087.2088327,123.0,,,inf
141.0,1609951087.2191331,123.0,,,inf
142.0,1609951087.2287045,123.0,,,inf
143.0,1609951087.2393186,123.0,,,inf
144.0,1609951087.2489681,123.0,,,inf
145.0,1609951087.2589028,123.0,,,inf
146.0,1609951087.2683246,123.0,,,inf
147.0,1609951087.2788172,123.0,,,inf
148.0,1609951087.2882023,123.0,,,inf
149.0,1609951087.2989836,123.0,,,inf
150.0,1609951087.308928,123.0,,,inf
151.0,1609951087.3182623,123.0,,,inf
152.0,1609951087.3287885,123.0,,,inf
153.0,1609951087.339437,123.0,,,inf
154.0,1609951087.3490193,123.0,,,inf
155.0,1609951087.358875,123.0,,,inf
156.0,1609951087.3681333,123.0,,,inf
