seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1608063891.15627,122.0,1608063891.1599376,72.0,0.003667593002319336
1.0,1608063891.166153,122.0,1608063891.166864,72.0,0.0007109642028808594
2.0,1608063891.1760569,122.0,1608063891.176663,72.0,0.0006060600280761719
3.0,1608063891.1865618,122.0,1608063891.187378,72.0,0.0008161067962646484
4.0,1608063891.1967936,122.0,1608063891.1976478,72.0,0.0008542537689208984
5.0,1608063891.2057943,122.0,1608063891.2065837,72.0,0.0007894039154052734
6.0,1608063891.2158148,122.0,1608063891.216435,72.0,0.0006201267242431641
7.0,1608063891.2263522,122.0,1608063891.2270536,72.0,0.0007014274597167969
8.0,1608063891.2357564,122.0,1608063891.2365324,72.0,0.0007760524749755859
9.0,1608063891.2463639,122.0,1608063891.2470558,72.0,0.0006918907165527344
10.0,1608063891.2560818,122.0,1608063891.2569594,72.0,0.0008776187896728516
11.0,1608063891.26665,122.0,1608063891.2673397,72.0,0.0006897449493408203
12.0,1608063891.276533,122.0,1608063891.2771995,72.0,0.0006666183471679688
13.0,1608063891.2862935,122.0,1608063891.287276,72.0,0.000982522964477539
14.0,1608063891.2962286,122.0,1608063891.2968218,72.0,0.0005931854248046875
15.0,1608063891.3061502,122.0,1608063891.306775,72.0,0.0006248950958251953
16.0,1608063891.3156507,122.0,1608063891.3162444,72.0,0.0005936622619628906
17.0,1608063891.3256164,122.0,1608063891.326301,72.0,0.0006847381591796875
18.0,1608063891.3363457,122.0,1608063891.3370194,72.0,0.0006737709045410156
19.0,1608063891.3458934,122.0,1608063891.3465242,72.0,0.0006308555603027344
20.0,1608063891.3568554,122.0,1608063891.3573496,72.0,0.0004942417144775391
21.0,1608063891.3662407,122.0,1608063891.3668988,72.0,0.0006580352783203125
22.0,1608063891.376072,122.0,1608063891.3767207,72.0,0.0006487369537353516
23.0,1608063891.3861592,122.0,1608063891.3867817,72.0,0.0006225109100341797
24.0,1608063891.3961136,122.0,1608063891.396683,72.0,0.0005693435668945312
25.0,1608063891.4057047,122.0,1608063891.4063745,72.0,0.0006697177886962891
26.0,1608063891.4157145,122.0,1608063891.4162738,72.0,0.0005593299865722656
27.0,1608063891.4266238,122.0,1608063891.427201,72.0,0.0005772113800048828
28.0,1608063891.436183,122.0,1608063891.4368627,72.0,0.0006797313690185547
29.0,1608063891.445715,122.0,1608063891.4463296,72.0,0.0006146430969238281
30.0,1608063891.4562438,122.0,1608063891.4569783,72.0,0.0007345676422119141
31.0,1608063891.4660525,122.0,1608063891.4668498,72.0,0.000797271728515625
32.0,1608063891.475777,122.0,1608063891.4765449,72.0,0.0007679462432861328
33.0,1608063891.486559,122.0,1608063891.4873223,72.0,0.0007634162902832031
34.0,1608063891.4964354,122.0,1608063891.4972076,72.0,0.0007722377777099609
35.0,1608063891.5062733,122.0,1608063891.5070336,72.0,0.0007603168487548828
36.0,1608063891.5159934,122.0,1608063891.5166824,72.0,0.0006890296936035156
37.0,1608063891.5257158,122.0,1608063891.5263937,72.0,0.0006778240203857422
38.0,1608063891.5363104,122.0,1608063891.5369444,72.0,0.0006339550018310547
39.0,1608063891.5458815,122.0,1608063891.5465088,72.0,0.0006272792816162109
