seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
99.0,1605734324.9665248,122.0,1605734324.967312,72.0,0.0007872581481933594
100.0,1605734324.9753,122.0,1605734324.975903,72.0,0.0006029605865478516
101.0,1605734324.9843144,122.0,1605734324.9850812,72.0,0.000766754150390625
102.0,1605734324.9932582,122.0,1605734324.9937894,72.0,0.0005311965942382812
103.0,1605734325.0023055,122.0,1605734325.0030296,72.0,0.0007240772247314453
104.0,1605734325.0112817,122.0,1605734325.011843,72.0,0.0005612373352050781
105.0,1605734325.0202134,122.0,1605734325.020864,72.0,0.0006506443023681641
106.0,1605734325.0294623,122.0,1605734325.0302095,72.0,0.0007472038269042969
107.0,1605734325.0382853,122.0,1605734325.0388463,72.0,0.0005609989166259766
108.0,1605734325.0473723,122.0,1605734325.0481012,72.0,0.0007288455963134766
109.0,1605734325.0562415,122.0,1605734325.056775,72.0,0.0005335807800292969
110.0,1605734325.0653522,122.0,1605734325.0661666,72.0,0.0008144378662109375
111.0,1605734325.0742872,122.0,1605734325.0750868,72.0,0.0007996559143066406
112.0,1605734325.083418,122.0,1605734325.0841653,72.0,0.0007474422454833984
113.0,1605734325.0922694,122.0,1605734325.0930078,72.0,0.0007383823394775391
114.0,1605734325.1013951,122.0,1605734325.1021738,72.0,0.0007786750793457031
115.0,1605734325.1102471,122.0,1605734325.1109796,72.0,0.000732421875
116.0,1605734325.1193035,122.0,1605734325.1200266,72.0,0.0007231235504150391
117.0,1605734325.128269,122.0,1605734325.1289337,72.0,0.0006647109985351562
118.0,1605734325.1374002,122.0,1605734325.1381307,72.0,0.0007305145263671875
119.0,1605734325.1462831,122.0,1605734325.1470518,72.0,0.0007686614990234375
120.0,1605734325.1553152,122.0,1605734325.1560657,72.0,0.0007505416870117188
121.0,1605734325.1644094,122.0,1605734325.1651304,72.0,0.000720977783203125
122.0,1605734325.1732898,122.0,1605734325.173996,72.0,0.0007061958312988281
123.0,1605734325.1824343,122.0,1605734325.1832461,72.0,0.0008118152618408203
124.0,1605734325.1913,122.0,1605734325.1920104,72.0,0.0007104873657226562
125.0,1605734325.2004774,122.0,1605734325.2012012,72.0,0.0007238388061523438
126.0,1605734325.2112067,122.0,1605734325.217247,72.0,0.006040334701538086
127.0,1605734325.220635,122.0,1605734325.2225976,72.0,0.0019626617431640625
128.0,1605734325.2335062,123.0,1605734325.2356584,73.0,0.0021522045135498047
129.0,1605734325.2466798,123.0,1605734325.2480562,73.0,0.0013763904571533203
130.0,1605734325.254371,123.0,1605734325.2548902,73.0,0.0005192756652832031
131.0,1605734325.2635493,123.0,1605734325.2642667,73.0,0.0007174015045166016
132.0,1605734325.272755,123.0,1605734325.2734425,73.0,0.0006875991821289062
133.0,1605734325.281525,123.0,1605734325.2822905,73.0,0.0007655620574951172
134.0,1605734325.2904603,123.0,1605734325.2911618,73.0,0.0007014274597167969
135.0,1605734325.29961,123.0,1605734325.3002963,73.0,0.0006864070892333984
136.0,1605734325.3085632,123.0,1605734325.3092382,73.0,0.0006749629974365234
137.0,1605734325.3177469,123.0,1605734325.3185484,73.0,0.0008015632629394531
138.0,1605734325.326642,123.0,1605734325.3273573,73.0,0.0007152557373046875
139.0,1605734325.3354797,123.0,1605734325.3362753,73.0,0.0007956027984619141
140.0,1605734325.3444917,123.0,1605734325.3451397,73.0,0.0006480216979980469
141.0,1605734325.3557365,123.0,1605734325.3581781,73.0,0.0024416446685791016
142.0,1605734325.3742664,123.0,1605734325.3766458,73.0,0.0023794174194335938
143.0,1605734325.3921912,123.0,1605734325.394608,73.0,0.002416849136352539
144.0,1605734325.41018,123.0,1605734325.4125621,73.0,0.002382040023803711
145.0,1605734325.42819,123.0,1605734325.4306386,73.0,0.002448558807373047
146.0,1605734325.4401875,123.0,1605734325.4415448,73.0,0.0013573169708251953
147.0,1605734325.4487722,123.0,1605734325.4499266,73.0,0.0011544227600097656
148.0,1605734325.4576287,123.0,1605734325.4587605,73.0,0.0011317729949951172
149.0,1605734325.466718,123.0,1605734325.4678466,73.0,0.0011286735534667969
150.0,1605734325.4756987,123.0,1605734325.476826,73.0,0.0011272430419921875
151.0,1605734325.4847126,123.0,1605734325.485881,73.0,0.0011684894561767578
152.0,1605734325.4934475,123.0,1605734325.4945364,73.0,0.001088857650756836
153.0,1605734325.5025892,123.0,1605734325.503725,73.0,0.0011358261108398438
154.0,1605734325.5117617,123.0,1605734325.5128832,73.0,0.00112152099609375
155.0,1605734325.520603,123.0,1605734325.5217156,73.0,0.0011126995086669922
156.0,1605734325.5294294,123.0,1605734325.5305607,73.0,0.001131296157836914
157.0,1605734325.538878,123.0,1605734325.539998,73.0,0.0011200904846191406
158.0,1605734325.5476665,123.0,1605734325.5487924,73.0,0.0011258125305175781
159.0,1605734325.5567095,123.0,1605734325.5578508,73.0,0.0011413097381591797
160.0,1605734325.5657835,123.0,1605734325.566922,73.0,0.001138448715209961
161.0,1605734325.5744746,123.0,1605734325.5756285,73.0,0.0011539459228515625
162.0,1605734325.58511,123.0,1605734325.587396,73.0,0.0022859573364257812
163.0,1605734325.5976686,123.0,1605734325.5990689,73.0,0.0014002323150634766
164.0,1605734325.6059911,123.0,1605734325.6071148,73.0,0.001123666763305664
165.0,1605734325.615069,123.0,1605734325.6160636,73.0,0.0009946823120117188
166.0,1605734325.6307697,123.0,1605734325.6336145,73.0,0.0028448104858398438
167.0,1605734325.6485739,123.0,1605734325.6511765,73.0,0.0026025772094726562
168.0,1605734325.6603897,123.0,1605734325.6617308,73.0,0.001341104507446289
169.0,1605734325.6691864,123.0,1605734325.6703153,73.0,0.0011289119720458984
170.0,1605734325.6782656,123.0,1605734325.6794174,73.0,0.0011518001556396484
171.0,1605734325.6872318,123.0,1605734325.6883755,73.0,0.0011436939239501953
172.0,1605734325.696275,123.0,1605734325.6973996,73.0,0.0011246204376220703
173.0,1605734325.7053225,123.0,1605734325.7064893,73.0,0.0011668205261230469
174.0,1605734325.7154589,123.0,1605734325.7206874,73.0,0.005228519439697266
175.0,1605734325.7235298,123.0,1605734325.7247977,73.0,0.0012679100036621094
176.0,1605734325.7322578,123.0,1605734325.7332919,73.0,0.0010340213775634766
177.0,1605734325.740787,123.0,1605734325.741626,73.0,0.0008389949798583984
178.0,1605734325.7496414,123.0,1605734325.75049,73.0,0.0008485317230224609
179.0,1605734325.7588947,123.0,1605734325.7597816,73.0,0.0008869171142578125
180.0,1605734325.7678952,123.0,1605734325.7688394,73.0,0.0009441375732421875
181.0,1605734325.779147,123.0,1605734325.7815409,73.0,0.002393960952758789
182.0,1605734325.7970045,123.0,1605734325.7994196,73.0,0.002415180206298828
183.0,1605734325.8150947,123.0,1605734325.8174834,73.0,0.0023887157440185547
184.0,1605734325.8271656,123.0,1605734325.8288488,73.0,0.0016832351684570312
185.0,1605734325.8354204,123.0,1605734325.8366683,73.0,0.0012478828430175781
186.0,1605734325.8442557,123.0,1605734325.8454843,73.0,0.0012285709381103516
187.0,1605734325.8533866,123.0,1605734325.8546386,73.0,0.0012519359588623047
188.0,1605734325.8620062,123.0,1605734325.8630013,73.0,0.0009951591491699219
189.0,1605734325.8710113,123.0,1605734325.8716645,73.0,0.0006532669067382812
190.0,1605734325.8797553,123.0,1605734325.880403,73.0,0.0006477832794189453
191.0,1605734325.8888764,123.0,1605734325.8901703,73.0,0.0012938976287841797
192.0,1605734325.9005668,123.0,1605734325.9029164,73.0,0.0023496150970458984
193.0,1605734325.9173741,123.0,1605734325.9191751,73.0,0.0018010139465332031
194.0,1605734325.925591,123.0,1605734325.926753,73.0,0.0011620521545410156
195.0,1605734325.9341953,123.0,1605734325.9349945,73.0,0.0007991790771484375
196.0,1605734325.943295,123.0,1605734325.944107,73.0,0.0008120536804199219
197.0,1605734325.952301,123.0,1605734325.9530966,73.0,0.0007956027984619141
198.0,1605734325.963552,123.0,1605734325.9659088,73.0,0.0023567676544189453
199.0,1605734325.9815707,123.0,1605734325.9840217,73.0,0.0024509429931640625
200.0,1605734325.999512,123.0,1605734326.0019119,73.0,0.002399921417236328
201.0,1605734326.0167372,123.0,1605734326.0185623,73.0,0.001825094223022461
202.0,1605734326.0251029,123.0,1605734326.0266871,73.0,0.0015842914581298828
203.0,1605734326.0337481,123.0,1605734326.0348713,73.0,0.001123189926147461
204.0,1605734326.0424864,123.0,1605734326.043388,73.0,0.0009014606475830078
205.0,1605734326.051404,123.0,1605734326.0522578,73.0,0.0008537769317626953
206.0,1605734326.0603316,123.0,1605734326.061208,73.0,0.0008764266967773438
207.0,1605734326.071562,123.0,1605734326.074211,73.0,0.0026488304138183594
208.0,1605734326.0897963,123.0,1605734326.0921867,73.0,0.0023903846740722656
209.0,1605734326.1070964,123.0,1605734326.1118014,73.0,0.004704952239990234
210.0,1605734326.1151867,123.0,1605734326.1164281,73.0,0.001241445541381836
211.0,1605734326.1234984,123.0,1605734326.1244526,73.0,0.0009541511535644531
212.0,1605734326.1323082,123.0,1605734326.133166,73.0,0.0008578300476074219
213.0,1605734326.1414747,123.0,1605734326.1423426,73.0,0.0008678436279296875
214.0,1605734326.1503885,123.0,1605734326.151211,73.0,0.0008225440979003906
215.0,1605734326.1596718,123.0,1605734326.1605718,73.0,0.0009000301361083984
216.0,1605734326.1705432,123.0,1605734326.1731434,73.0,0.0026001930236816406
217.0,1605734326.1885755,123.0,1605734326.191309,73.0,0.002733469009399414
218.0,1605734326.2066035,123.0,1605734326.20912,73.0,0.002516508102416992
219.0,1605734326.2185953,123.0,1605734326.2200272,73.0,0.0014319419860839844
220.0,1605734326.227061,123.0,1605734326.2280705,73.0,0.0010094642639160156
221.0,1605734326.2360682,123.0,1605734326.237075,73.0,0.0010068416595458984
222.0,1605734326.2449229,123.0,1605734326.2459545,73.0,0.001031637191772461
223.0,1605734326.253949,123.0,1605734326.2549555,73.0,0.0010066032409667969
224.0,1605734326.2648377,123.0,1605734326.267382,73.0,0.0025441646575927734
