tick,force_value,force_target
49.0,4.5585512856844425e-06,4.5585512856844425e-06
50.0,4.5585512856844425e-06,
51.0,4.796755749687691e-06,4.796755749687691e-06
52.0,4.796755749687691e-06,
53.0,6.027802060012361e-06,6.027802060012361e-06
54.0,6.027802060012361e-06,
55.0,-2.1673591766335275e-05,-2.1673591766335275e-05
56.0,-2.1673591766335275e-05,
57.0,-3.3842273103081374e-05,-3.3842273103081374e-05
58.0,-3.3842273103081374e-05,
59.0,1.3940554482482106e-05,1.3940554482482106e-05
60.0,1.3940554482482106e-05,
61.0,-5.474659845775266e-06,-5.474659845775266e-06
62.0,-5.474659845775266e-06,
63.0,-1.969733837920543e-05,-1.969733837920543e-05
64.0,-1.969733837920543e-05,
65.0,3.3247080560384334e-06,3.3247080560384334e-06
66.0,3.3247080560384334e-06,
67.0,1.9772081480926728e-08,1.9772081480926728e-08
68.0,1.9772081480926728e-08,
69.0,-1.8911170619365833e-05,-1.8911170619365833e-05
70.0,-1.8911170619365833e-05,
71.0,5.791835199090165e-06,5.791835199090165e-06
72.0,5.791835199090165e-06,
73.0,-1.5568161903137148e-05,-1.5568161903137148e-05
74.0,-1.5568161903137148e-05,
75.0,-5.5326039367991e-07,-5.5326039367991e-07
76.0,-5.5326039367991e-07,
77.0,-2.459422396782328e-06,-2.459422396782328e-06
78.0,-2.459422396782328e-06,
79.0,-1.3323335921395263e-05,-1.3323335921395263e-05
80.0,-1.3323335921395263e-05,
81.0,1.2574757257328534e-05,1.2574757257328534e-05
82.0,1.2574757257328534e-05,
83.0,-1.3621222203056179e-05,-1.3621222203056179e-05
84.0,-1.3621222203056179e-05,
85.0,2.7675323011543823e-06,2.7675323011543823e-06
86.0,2.7675323011543823e-06,
87.0,1.7919996408387332e-06,1.7919996408387332e-06
88.0,1.7919996408387332e-06,
89.0,2.259636080340331e-07,2.259636080340331e-07
90.0,2.259636080340331e-07,
91.0,-1.5141325968186543e-05,-1.5141325968186543e-05
92.0,-1.5141325968186543e-05,
93.0,8.71595077919507e-06,8.71595077919507e-06
94.0,8.71595077919507e-06,
95.0,-1.2657405350141303e-05,-1.2657405350141303e-05
96.0,-1.2657405350141303e-05,
97.0,1.2817881295639784e-05,1.2817881295639784e-05
98.0,1.2817881295639784e-05,
99.0,2.2280503919372308e-05,2.2280503919372308e-05
100.0,2.2280503919372308e-05,
101.0,-1.5779377960487895e-05,-1.5779377960487895e-05
102.0,-1.5779377960487895e-05,
103.0,7.994336440721164e-07,7.994336440721164e-07
104.0,7.994336440721164e-07,
105.0,-1.6595043467728782e-05,-1.6595043467728782e-05
106.0,-1.6595043467728782e-05,
107.0,1.0440723823263952e-05,1.0440723823263952e-05
108.0,1.0440723823263952e-05,
109.0,1.866131202227717e-05,1.866131202227717e-05
110.0,1.866131202227717e-05,
111.0,2.1303875094605224e-05,2.1303875094605224e-05
112.0,2.1303875094605224e-05,
113.0,-8.02446361167614e-06,-8.02446361167614e-06
114.0,-8.02446361167614e-06,
115.0,1.867967709873537e-05,1.867967709873537e-05
116.0,1.867967709873537e-05,
117.0,-1.419353286333808e-05,-1.419353286333808e-05
118.0,-1.419353286333808e-05,
119.0,1.9363763104632313e-06,1.9363763104632313e-06
120.0,1.9363763104632313e-06,
121.0,1.165676132520532e-05,1.165676132520532e-05
122.0,1.165676132520532e-05,
123.0,-1.8935340574871128e-05,-1.8935340574871128e-05
124.0,-1.8935340574871128e-05,
125.0,-2.9662283942741686e-05,-2.9662283942741686e-05
126.0,-2.9662283942741686e-05,
127.0,1.5657915097475527e-05,1.5657915097475527e-05
128.0,1.5657915097475527e-05,
129.0,-1.4905067211683817e-05,-1.4905067211683817e-05
130.0,-1.4905067211683817e-05,
131.0,2.2399652184227007e-05,2.2399652184227007e-05
132.0,2.2399652184227007e-05,
133.0,-1.4519715996463849e-05,-1.4519715996463849e-05
134.0,-1.4519715996463849e-05,
135.0,-1.6142483621697704e-05,-1.6142483621697704e-05
136.0,-1.6142483621697704e-05,
137.0,1.0993105076063998e-05,1.0993105076063998e-05
138.0,1.0993105076063998e-05,
139.0,-1.6839706444457273e-05,-1.6839706444457273e-05
140.0,-1.6839706444457273e-05,
141.0,1.1429483522525311e-05,1.1429483522525311e-05
142.0,1.1429483522525311e-05,
143.0,-2.295112805776045e-06,-2.295112805776045e-06
144.0,-2.295112805776045e-06,
145.0,-1.9597013960187497e-05,-1.9597013960187497e-05
146.0,-1.9597013960187497e-05,
147.0,1.4594032130204377e-05,1.4594032130204377e-05
148.0,1.4594032130204377e-05,
149.0,6.750524770435427e-06,6.750524770435427e-06
150.0,6.750524770435427e-06,
151.0,-1.2783730189317454e-05,-1.2783730189317454e-05
152.0,-1.2783730189317454e-05,
153.0,-1.257582885250067e-05,-1.257582885250067e-05
154.0,-1.257582885250067e-05,
155.0,1.6974960573649313e-05,1.6974960573649313e-05
156.0,1.6974960573649313e-05,
157.0,-1.2999857237091764e-05,-1.2999857237091764e-05
158.0,-1.2999857237091764e-05,
159.0,2.9083016792300393e-06,2.9083016792300393e-06
160.0,2.9083016792300393e-06,
161.0,7.2432004216684455e-06,7.2432004216684455e-06
162.0,7.2432004216684455e-06,
163.0,-1.940578692878258e-05,-1.940578692878258e-05
164.0,-1.940578692878258e-05,
165.0,1.0864435522534616e-05,1.0864435522534616e-05
166.0,1.0864435522534616e-05,
167.0,7.079440886426684e-06,7.079440886426684e-06
168.0,7.079440886426684e-06,
169.0,7.283502647206765e-07,7.283502647206765e-07
170.0,7.283502647206765e-07,
171.0,2.4217682677234703e-06,2.4217682677234703e-06
172.0,2.4217682677234703e-06,
173.0,-1.6466729250866353e-05,-1.6466729250866353e-05
174.0,-1.6466729250866353e-05,
175.0,1.6075181095769156e-05,1.6075181095769156e-05
176.0,1.6075181095769156e-05,
177.0,-1.34300159779917e-05,-1.34300159779917e-05
178.0,-1.34300159779917e-05,
179.0,1.7213706676358767e-05,1.7213706676358767e-05
180.0,1.7213706676358767e-05,
181.0,1.7392001803787716,1.7392001803787716
182.0,1.7392001803787716,
183.0,-0.3578181795057873,-0.3578181795057873
184.0,-0.3578181795057873,
185.0,-0.3013737289629711,-0.3013737289629711
186.0,-0.3013737289629711,
187.0,-0.25231991265675624,-0.25231991265675624
188.0,-0.25231991265675624,
189.0,-0.2022634722026019,-0.2022634722026019
190.0,-0.2022634722026019,
191.0,-0.16116031354347077,-0.16116031354347077
192.0,-0.16116031354347077,
193.0,-0.12788765170717947,-0.12788765170717947
194.0,-0.12788765170717947,
195.0,-0.1228806824202395,-0.1228806824202395
196.0,-0.1228806824202395,
197.0,-0.11643144311770055,-0.11643144311770055
198.0,-0.11643144311770055,
199.0,-0.11059544007601187,-0.11059544007601187
200.0,-0.11059544007601187,
201.0,-0.10447618804301417,-0.10447618804301417
202.0,-0.10447618804301417,
203.0,-0.09867932012304106,-0.09867932012304106
204.0,-0.09867932012304106,
205.0,-0.0937356247279792,-0.0937356247279792
206.0,-0.0937356247279792,
207.0,-0.08900286539737737,-0.08900286539737737
208.0,-0.08900286539737737,
209.0,-0.08428636976768372,-0.08428636976768372
210.0,-0.08428636976768372,
211.0,-0.07999426839855475,-0.07999426839855475
212.0,-0.07999426839855475,
213.0,-0.07637306715608697,-0.07637306715608697
214.0,-0.07637306715608697,
215.0,-0.07283625828272822,-0.07283625828272822
216.0,-0.07283625828272822,
217.0,-0.06998593355258406,-0.06998593355258406
218.0,-0.06998593355258406,
219.0,-0.06718111238271346,-0.06718111238271346
220.0,-0.06718111238271346,
221.0,-0.06470639502069428,-0.06470639502069428
222.0,-0.06470639502069428,
223.0,-0.06285158267825952,-0.06285158267825952
224.0,-0.06285158267825952,
225.0,-0.06112712941724774,-0.06112712941724774
226.0,-0.06112712941724774,
227.0,-0.05962951763213742,-0.05962951763213742
228.0,-0.05962951763213742,
229.0,-0.05852683147396451,-0.05852683147396451
230.0,-0.05852683147396451,
231.0,-0.05760653279999006,-0.05760653279999006
232.0,-0.05760653279999006,
233.0,-0.05696281340740905,-0.05696281340740905
234.0,-0.05696281340740905,
235.0,-0.056469256978988414,-0.056469256978988414
236.0,-0.056469256978988414,
237.0,-0.056108590180632745,-0.056108590180632745
238.0,-0.056108590180632745,
239.0,-0.05595128744792166,-0.05595128744792166
240.0,-0.05595128744792166,
241.0,-0.05592901684728703,-0.05592901684728703
242.0,-0.05592901684728703,
243.0,-0.056060114572694816,-0.056060114572694816
244.0,-0.056060114572694816,
245.0,-0.056271767970547865,-0.056271767970547865
246.0,-0.056271767970547865,
247.0,-0.05653797611840854,-0.05653797611840854
248.0,-0.05653797611840854,
249.0,-0.05694411610248905,-0.05694411610248905
250.0,-0.05694411610248905,
251.0,-0.05735715812834577,-0.05735715812834577
252.0,-0.05735715812834577,
253.0,-0.05783160305366736,-0.05783160305366736
254.0,-0.05783160305366736,
255.0,-0.058337091033748956,-0.058337091033748956
256.0,-0.058337091033748956,
257.0,-0.05884245811295197,-0.05884245811295197
258.0,-0.05884245811295197,
259.0,-0.05937874412478669,-0.05937874412478669
260.0,-0.05937874412478669,
261.0,-0.05993939395825955,-0.05993939395825955
262.0,-0.05993939395825955,
263.0,-0.06055471725470092,-0.06055471725470092
264.0,-0.06055471725470092,
265.0,-0.06100718100441337,-0.06100718100441337
266.0,-0.06100718100441337,
267.0,-0.06152818959234125,-0.06152818959234125
268.0,-0.06152818959234125,
269.0,-0.06202928574207326,-0.06202928574207326
270.0,-0.06202928574207326,
271.0,-0.06252510842480874,-0.06252510842480874
272.0,-0.06252510842480874,
273.0,-0.0629844330747773,-0.0629844330747773
274.0,-0.0629844330747773,
275.0,-0.06343255290326172,-0.06343255290326172
276.0,-0.06343255290326172,
277.0,-0.0638407295743463,-0.0638407295743463
278.0,-0.0638407295743463,
279.0,-0.06424182588997208,-0.06424182588997208
280.0,-0.06424182588997208,
281.0,-0.06458307534145337,-0.06458307534145337
282.0,-0.06458307534145337,
283.0,-0.0649127284996212,-0.0649127284996212
284.0,-0.0649127284996212,
285.0,-0.06524977575715064,-0.06524977575715064
286.0,-0.06524977575715064,
287.0,-0.0655370490007561,-0.0655370490007561
