tick,tick_dt,input_force,output_angle,output_position,output_ang_vel,output_speed
209.0,0.004929554999762331,0.6994075747346249,-0.0007556120338464454,-0.0005991497519566765,0.11475331638783477,0.07556734745580515
210.0,0.00511371699940355,0.6994075747346249,-0.00016879604909604074,-0.00021271972267209105,0.12528162095670559,0.0819805724801928
211.0,0.005120013000123436,-2.048938148480015,0.0004726474788788285,0.00020702187418405766,0.0898862366381344,0.060424551093956363
212.0,0.004626785999789718,-2.048938148480015,0.0008885318601299343,0.00048659334122915345,0.05794325128159907,0.0409523675152239
213.0,0.0051811579996865476,-0.021417010330835873,0.0011887450000354393,0.0006987740277867593,0.056555965224971055,0.04004837070374471
214.0,0.0050232289995619794,-0.021417010330835873,0.0014728385646517327,0.0008999461648910181,0.055244492487967915,0.039177447290664164
215.0,0.004795107999598258,1.9648489465393013,0.0017377418725145334,0.001087806255798321,0.08516187150619867,0.05729593862492206
216.0,0.00521531699996558,1.9648489465393013,0.0021818880287296956,0.0013866227385378616,0.11775361755974241,0.07701118647855332
217.0,0.004988709999452112,0.5203255138901799,0.0027693266781216425,0.001770809214593092,0.12543280757437786,0.08154697398744042
218.0,0.004945065000356408,0.5203255138901799,0.0033896000647541387,0.002174064301543358,0.13311244362440725,0.08605485783488453
219.0,0.004835494999497314,-2.279338511809355,0.004033264620270828,0.0025901821362863944,0.09642719788396183,0.06354662027683436
220.0,0.004755347999889636,-2.279338511809355,0.004491809502863288,0.002892368429919585,0.06039868913142333,0.04141976294191221
221.0,0.005142611000337638,-1.8589614027194024,0.004802416465996519,0.00310537415845604,0.02854067608202449,0.021797206230131323
222.0,0.004791707999174832,-1.8589614027194024,0.004939175051880613,0.003209820005908624,-0.0011284391878235741,0.0035160933603630446
223.0,0.0052851819982606685,1.2555151017038235,0.004933211045398996,0.0032284031992410186,0.01996706887389717,0.01609421617141326
224.0,0.00471964600001229,1.2555151017038235,0.005027448542141655,0.0033043622022177624,0.03881657059301691,0.02732816782599888
225.0,0.004982135000318522,0.20052216336707307,0.005220837937085459,0.00344051482363825,0.041548174510951864,0.02873553784775816
226.0,0.004971802998625208,0.20052216336707307,0.005427407275706412,0.0035833822568768423,0.044298792042235836,0.030143971878119714
227.0,0.004967241000485956,-0.03697438393620689,0.005647450051810607,0.0037331146299073342,0.04321307798553298,0.0292087275481123
228.0,0.005176335000214749,-0.03697438393620689,0.005871135419854131,0.0038843087886263647,0.04210791703424747,0.028238571671628552
229.0,0.004894752999462071,0.7027357911101579,0.0060772432730586134,0.004022529622016593,0.05292436948894964,0.03452707431528524
230.0,0.005278309999994235,0.7027357911101579,0.006356594501775526,0.004204774223645507,0.06462083402334229,0.041314009813884334
231.0,0.006106983999416116,0.9420951501662918,0.006751232901185002,0.0044570782205306195,0.08298834627213138,0.05208337943462035
232.0,0.004678052000599564,0.9420951501662918,0.007139456700489795,0.004700726977892732,0.09709845578237852,0.060339875005240344
233.0,0.004959651998433401,0.9420951501662918,0.0076210312507556666,0.0049999917595476935,0.11210963404717551,0.06910252562605439
234.0,0.006001742998705595,0.3671828776324244,0.008293884461985748,0.0054147273589167395,0.11908704691978021,0.0728585231277827
