seq,start,end,tick_delta
1.0,0.01663976849977189,0.02053270150008757,0.0
2.0,0.025589837499865098,0.026515852499869652,0.007113519000085944
3.0,0.030080694500156824,0.030688231499880203,0.0044253560004108294
4.0,0.03457617149979342,0.03525854849976895,0.0045200650001788745
5.0,0.03911099249990002,0.03975296350017743,0.004542156999832514
6.0,0.04362908450002578,0.04429220249994614,0.004491324999889912
7.0,0.04807953550016464,0.04865170250013762,0.004439496000031795
8.0,0.05259361150001496,0.05337222150001253,0.00460850500030574
9.0,0.05708655450007427,0.05783994449984675,0.004496224999911647
10.0,0.06158214749984836,0.06229853849981737,0.004431294000369235
11.0,0.06613172949982982,0.06674932750001972,0.004537088999768457
12.0,0.07061547849980343,0.07139585950017135,0.004467326999929355
13.0,0.07508680850014571,0.07575086650012963,0.004510919000040303
14.0,0.0796299875000841,0.08039737350009091,0.0045698630001425045
15.0,0.08414605249981832,0.08477307849989302,0.004464346000077057
16.0,0.08862403249986528,0.08929117249999763,0.004465977000108978
17.0,0.09312272450006276,0.09371975249996467,0.004499145999943721
18.0,0.09758683249992828,0.09836157049994654,0.00455979100024706
19.0,0.10211418949984363,0.10269284249989141,0.0044228089996067865
20.0,0.10661323649992482,0.10725904950004406,0.004501458000049752
21.0,0.11107963250015018,0.11175462749997678,0.004549715999928594
22.0,0.11561856549997174,0.11629706250005256,0.004465855000034935
23.0,0.12012165850001111,0.12084221050008637,0.004486441000153718
24.0,0.12457993750012974,0.12523253149993252,0.00446432199987612
25.0,0.12911351750017275,0.1296962054998403,0.004532058000222605
26.0,0.13361875249984223,0.13429662450016622,0.004504067999732797
27.0,0.13808020650003527,0.13878443849989708,0.004554564000045502
28.0,0.1425803414999791,0.14329397450001125,0.004454454999631707
29.0,0.14711176250011704,0.14767094250009904,0.004475579999962065
30.0,0.15157729549991927,0.15219294449980225,0.004466846000013902
31.0,0.1561289854998904,0.15671617149973827,0.004549910000150703
32.0,0.16057855849976477,0.16126051150013154,0.00445204100014962
33.0,0.16509213449990057,0.1658905754998159,0.004592529000092327
34.0,0.16960201250003593,0.1707528104998346,0.004563732999940839
35.0,0.17410600050016,0.17511526250018505,0.004638784999769996
36.0,0.17861547150005208,0.17997992150003483,0.00457481600005849
37.0,0.18315425750006398,0.18437462549991324,0.004606828999840218
38.0,0.18771121849977135,0.1885586345001684,0.0042945949999193544
39.0,0.19212541050001164,0.19331099549981445,0.004504827999880945
40.0,0.1965903945001628,0.19727194449978924,0.004243295999913244
41.0,0.20123525649978546,0.2019002705001185,0.004700268999840773
42.0,0.20571359750010743,0.2065266505001091,0.0045231020003484446
43.0,0.21019602449996455,0.21100440549980704,0.004467351000130293
44.0,0.2146296705000168,0.21545591550011522,0.0044491429998743115
45.0,0.21929138550012794,0.22048243449989968,0.004585873999985779
46.0,0.22360226850014442,0.22455085049978152,0.004421656999966217
47.0,0.22808710050003356,0.22885925650007266,0.004408093000165536
48.0,0.23266446549996544,0.23347405449976577,0.00463073999981134
49.0,0.2371093335000296,0.23828442249987347,0.004701813999872684
50.0,0.24170075450001605,0.2425154715001554,0.004300861000047007
51.0,0.24613779950004755,0.24690756649988543,0.004500261999965005
52.0,0.25060100449991296,0.25143382050009677,0.004399863999879017
53.0,0.2551336524998078,0.25589036749988736,0.004571209000005183
54.0,0.2596231385000465,0.2603689034999661,0.004418995999913022
55.0,0.264191778499935,0.2649627185001009,0.004587886000081198
56.0,0.26871566349973364,0.26956563549993007,0.004581479000080435
57.0,0.27321353949992044,0.2738986694998857,0.004413238999859459
58.0,0.27763059749986496,0.27849230350011567,0.004408313000112685
59.0,0.2821189004998814,0.28287752549977085,0.004458987999896635
60.0,0.28663016249993234,0.28750750049994167,0.004587302000345517
61.0,0.29127462650012603,0.29206729650013585,0.004727753000224766
62.0,0.2956791984997835,0.2964008294998166,0.004269578999810619
63.0,0.3002128924999852,0.3008967165001195,0.00456799299990962
64.0,0.30460732649999045,0.30543688950001524,0.004427258000305301
65.0,0.3093171274999804,0.3100258475001283,0.0046927089997552685
66.0,0.31361588449999545,0.3142732394999257,0.004207462000067608
67.0,0.31810077049976826,0.3188125954998213,0.00458468399983758
68.0,0.32271851050018086,0.3235948645001372,0.004674933999922359
69.0,0.32729026149991114,0.32816595150006833,0.0045655489998353005
70.0,0.3316101155000979,0.3324475945000813,0.00430919200016433
71.0,0.3362931715000741,0.33714793550007016,0.004738368999824161
72.0,0.3406447094998839,0.34160443149994535,0.004324964999796066
73.0,0.3451073175001511,0.3458483354997952,0.004422198000156641
74.0,0.3497913814999265,0.35067973249988427,0.004700425999999425
75.0,0.35414183849979963,0.35493770150014825,0.004360327000085817
76.0,0.35876406150009643,0.359480809499928,0.00450149300013436
77.0,0.3631415575000574,0.36389960049973524,0.00448439599995254
78.0,0.36776880449997407,0.37162221549988317,0.0058725920002871135
79.0,0.37659749749991533,0.38008080349982265,0.008773403999839502
80.0,0.3858049494997431,0.38989096349996544,0.00923632700005328
81.0,0.39467693950018656,0.3979940244998943,0.00875922899967918
82.0,0.40377181450003263,0.4069423974997335,0.008902805000161607
83.0,0.41269833149999613,0.4145795915001145,0.008522796999841376
84.0,0.4172367914998176,0.41899428950000583,0.004401171000154136
85.0,0.42159761950006214,0.42272734949983715,0.00404773899981592
86.0,0.4262143064997872,0.42761315649977405,0.00477292599998691
87.0,0.4307387994999772,0.4319005325000944,0.004479442000047129
88.0,0.43518173749998823,0.436426249500073,0.004424977999860857
89.0,0.4396959704999972,0.44072969450007804,0.004427908000252501
