tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
88.0,0.001225134366626036,0.019682109140230396,-0.00021399949345389063,0.024851650113906356,0.001225134366626036,0.019682109140230396,-0.00021399949345389063,0.024851650113906356
89.0,0.0013250429176517023,0.02379413164575153,-8.784978379690244e-05,0.0316035026819611,,,,
90.0,0.001442348034248999,0.02779078181808598,6.795554762616566e-05,0.03817933878607606,0.001442348034248999,0.02779078181808598,6.795554762616566e-05,0.03817933878607606
91.0,0.0015805433105782441,0.025190063888770292,0.00025781002196758,0.03392441288176046,,,,
92.0,0.0017063808037248108,0.02258067573619741,0.0004272801389295671,0.029669553675351498,0.0017063808037248108,0.02258067573619741,0.0004272801389295671,0.029669553675351498
93.0,0.0018194619826478362,0.01846667350055676,0.0005758615253736615,0.022953249719114884,,,,
94.0,0.00191140178840382,0.014378830096658088,0.0006901385943097851,0.016288852179654797,0.00191140178840382,0.014378830096658088,0.0006901385943097851,0.016288852179654797
95.0,0.001981902817174886,0.007542213144791396,0.000770004677186193,0.005111365217595762,,,,
96.0,0.002019663752012068,0.0005617724592727526,0.0007955952996209308,-0.006299202030877236,0.002019663752012068,0.0005617724592727526,0.0007955952996209308,-0.006299202030877236
97.0,0.002022397946322072,0.013721477920740528,0.0007649365479037577,0.015393321898011968,,,,
98.0,0.0020899806708397643,0.027040083391339013,0.0008407536456868628,0.037353407213148525,0.0020899806708397643,0.027040083391339013,0.0008407536456868628,0.037353407213148525
99.0,0.002235913486174434,0.021707815336075284,0.0010423465105484817,0.028678837140701734,,,,
100.0,0.002341337751844241,0.016912066449644908,0.0011816256272635544,0.02088817992962477,0.002341337751844241,0.016912066449644908,0.0011816256272635544,0.02088817992962477
101.0,0.0024257306884581586,0.007167358849801359,0.0012858597757060078,0.004972052410273877,,,,
102.0,0.0024635679570680687,-0.0017769631398291477,0.001312107782333344,-0.009618772871407878,0.0024635679570680687,-0.0017769631398291477,0.001312107782333344,-0.009618772871407878
103.0,0.002455239689778304,-0.02444895108454293,0.0012670265368775017,-0.04679202736998464,,,,
104.0,0.0023324539035157288,-0.04874764233599784,0.0010320309392513997,-0.08665224651511416,0.0023324539035157288,-0.04874764233599784,0.0010320309392513997,-0.08665224651511416
105.0,0.0020985730500924045,-0.047712784351632086,0.0006162918307563519,-0.08490269073365121,,,,
106.0,0.0018474258357160322,-0.04658641633062111,0.00016938699045885322,-0.0830372314694652,0.0018474258357160322,-0.04658641633062111,0.00016938699045885322,-0.0830372314694652
107.0,0.001627028388415258,-0.031769556861229384,-0.000223457003312016,-0.058697234424776194,,,,
108.0,0.0014692465362807707,-0.016220567766138092,-0.0005149737658267514,-0.033179222028410595,0.0014692465362807707,-0.016220567766138092,-0.0005149737658267514,-0.033179222028410595
109.0,0.0013841345245956902,-0.008734696615782354,-0.0006890706515645747,-0.020931299785920197,,,,
110.0,0.001341346145795156,-0.0017479125382477327,-0.0007916061400220948,-0.009508667582220536,0.001341346145795156,-0.0017479125382477327,-0.0007916061400220948,-0.009508667582220536
111.0,0.0013328061073198713,0.002527510543679282,-0.0008380640635302491,-0.002547035294457122,,,,
112.0,0.0013454203437532407,0.006898338823414578,-0.0008507757436016798,0.004569763790966713,0.0013454203437532407,0.006898338823414578,-0.0008507757436016798,0.004569763790966713
113.0,0.0013806307068088635,-0.007307827550941257,-0.000827450846655152,-0.018850779334514782,,,,
114.0,0.0013449235725289657,-0.0208798942236682,-0.0009195585632489221,-0.04123338956128291,0.0013449235725289657,-0.0208798942236682,-0.0009195585632489221,-0.04123338956128291
115.0,0.0012400014150177282,-0.028017222418857846,-0.0011267577064977949,-0.05305745008591543,,,,
116.0,0.0010952750345105946,-0.03535971607772386,-0.0014008324379281307,-0.06524356423879193,0.0010952750345105946,-0.03535971607772386,-0.0014008324379281307,-0.06524356423879193
117.0,0.0009239304781643365,-0.01686000812578108,-0.0017169868308076338,-0.034967168965129136,,,,
118.0,0.0008362884298647212,0.0016652031976607097,-0.0018987539028327359,-0.004674261193646519,0.0008362884298647212,0.0016652031976607097,-0.0018987539028327359,-0.004674261193646519
119.0,0.0008447232119304811,0.011881107710619171,-0.0019224305175199003,0.01196274779852587,,,,
120.0,0.0009012040019607381,0.02146981634976376,-0.0018655616242272692,0.027581690424619845,0.0009012040019607381,0.02146981634976376,-0.0018655616242272692,0.027581690424619845
121.0,0.001007461687064381,0.024668713047514546,-0.0017290552597563097,0.03270209301719068,,,,
122.0,0.0011320465326058317,0.0279362209411599,-0.001563899290752919,0.03794657749780316,0.0011320465326058317,0.0279362209411599,-0.001563899290752919,0.03794657749780316
123.0,0.0012760990971671872,0.029015892014087576,-0.0013682285228134021,0.03960761884848799,,,,
124.0,0.0014172136516577077,0.030037794827733236,-0.0011756026512558056,0.041195352661231456,0.0014172136516577077,0.030037794827733236,-0.0011756026512558056,0.041195352661231456
125.0,0.0015677151390177124,0.03302951836851772,-0.0009691972914951425,0.04603467589232305,,,,
126.0,0.0017440873172379122,0.03622302141096095,-0.0007233797179476928,0.05122244504781004,0.0017440873172379122,0.03622302141096095,-0.0007233797179476928,0.05122244504781004
127.0,0.001911974030434663,0.06000698653950278,-0.0004859735710828757,0.09028318645296823,,,,
128.0,0.002214938984276874,0.08592448099322778,-3.0149291380962638e-05,0.1328839408809375,0.002214938984276874,0.08592448099322778,-3.0149291380962638e-05,0.1328839408809375
129.0,0.0026496556798707655,0.07134900168749599,0.0006421488361085489,0.1089775993977154,,,,
130.0,0.0029962030608951034,0.05736584551409426,0.0011714611007287313,0.08608285722560244,0.0029962030608951034,0.05736584551409426,0.0011714611007287313,0.08608285722560244
131.0,0.00328304691675122,0.059780231734391794,0.001601897337977892,0.0901805471009784,,,,
132.0,0.0035783390232654124,0.06217382225585063,0.002047355693481893,0.09427842460823813,0.0035783390232654124,0.06217382225585063,0.002047355693481893,0.09427842460823813
133.0,0.003895152760217864,0.07705419692332421,0.002527762059544022,0.11894654506739832,,,,
134.0,0.004277668517925217,0.09156227256582689,0.003118241613284658,0.14304485609468157,0.004277668517925217,0.09156227256582689,0.003118241613284658,0.14304485609468157
135.0,0.004739892632916803,0.08726219656705397,0.0038403597975502166,0.13628832027813007,,,,
136.0,0.005191515775171018,0.0828677182550909,0.004545716319366179,0.1294437503102195,0.005191515775171018,0.0828677182550909,0.004545716319366179,0.1294437503102195
137.0,0.005588889438569159,0.07161506643286548,0.005166434958033489,0.1113455931324856,,,,
