tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.6332426750092734,-9.711054572438889e-05
4.0,0.6332426750092734,
5.0,0.3484649238978444,-0.13099978035574505
6.0,0.3484649238978444,
7.0,-0.27966555315112895,-0.2135243511319025
8.0,-0.27966555315112895,
9.0,1.9622512126369696,-0.1572735282407609
10.0,1.9622512126369696,
11.0,0.018921063675316208,-0.6081202522605473
12.0,0.018921063675316208,
13.0,-0.7637915560192494,-0.6681768042247971
14.0,-0.7637915560192494,
15.0,0.7075370333533753,-0.549945641634275
16.0,0.7075370333533753,
17.0,-2.2520919998281226,-0.7699847399223665
18.0,-2.2520919998281226,
19.0,-0.08206429606636895,-0.32710987860676255
20.0,-0.08206429606636895,
21.0,-0.6061988164209632,-0.34236852218161923
22.0,-0.6061988164209632,
23.0,-1.783864911362837,-0.23691823044711802
24.0,-1.783864911362837,
25.0,0.26974075345957965,0.1476684811417439
26.0,0.26974075345957965,
27.0,-0.541055511054571,0.11316243654239666
28.0,-0.541055511054571,
29.0,1.2606606371932496,0.27310480987202546
30.0,1.2606606371932496,
31.0,-0.8559201645641307,0.024482986709873478
32.0,-0.8559201645641307,
33.0,-0.7578189312408765,0.22247251046877903
34.0,-0.7578189312408765,
35.0,0.25309253787564345,0.4304101505295299
36.0,0.25309253787564345,
37.0,-0.03939574717321409,0.4223768621043891
38.0,-0.03939574717321409,
39.0,0.4651729121279072,0.47451495493359275
40.0,0.4651729121279072,
41.0,1.5032006713664718,0.41387072782574874
42.0,1.5032006713664718,
43.0,0.72128407572095,0.10124285157031494
44.0,0.72128407572095,
45.0,1.8864748973976688,-0.04078604367384675
46.0,1.8864748973976688,
47.0,-1.2755883200931069,-0.48194330282478304
48.0,-1.2755883200931069,
49.0,-0.647419944269564,-0.23283715008986228
50.0,-0.647419944269564,
51.0,1.2206511325576317,-0.09179882916338661
52.0,1.2206511325576317,
53.0,-0.3873499857226482,-0.37030201389303863
54.0,-0.3873499857226482,
55.0,-1.4704081878752369,-0.30735523575684187
56.0,-1.4704081878752369,
57.0,0.28472224850503347,0.007771544112748829
58.0,0.28472224850503347,
