tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
28.0,-1.874001153491506e-08,-9.295809763262767e-08,-1.4458146774002904e-08,-3.421141830124034e-07,-1.874001153491506e-08,-9.295809763262767e-08,-1.4458146774002904e-08,-3.421141830124034e-07
29.0,-1.920841697757378e-08,-4.173929881618005e-07,-1.6182021825394944e-08,-9.77792425916079e-07,,,,
30.0,-2.12516633420306e-08,-1.7120898633055978e-07,-2.096856802073251e-08,-3.5592160277227886e-07,-2.12516633420306e-08,-1.7120898633055978e-07,-2.096856802073251e-08,-3.5592160277227886e-07
31.0,-2.2026817335102676e-08,4.5072146283346116e-07,-2.2580014110816042e-08,1.0624917219206428e-06,,,,
32.0,-1.959731867441381e-08,6.187785545409405e-07,-1.685292448173177e-08,6.202110598381473e-07,-1.959731867441381e-08,6.187785545409405e-07,-1.685292448173177e-08,6.202110598381473e-07
33.0,-1.675271816809563e-08,6.611791558136241e-07,-1.4001738573796432e-08,1.6217626042934712e-06,,,,
34.0,-1.350923637882238e-08,7.11389161466538e-07,-6.046016698267446e-09,6.67602351489466e-07,-1.350923637882238e-08,7.11389161466538e-07,-6.046016698267446e-09,6.67602351489466e-07
35.0,-9.50163834261936e-09,5.309313142159994e-07,-2.285090867912987e-09,1.1909607825896698e-06,,,,
36.0,-7.201425676571176e-09,6.221277922797505e-07,2.8746407273587065e-09,1.441551669405496e-06,-7.201425676571176e-09,6.221277922797505e-07,2.8746407273587065e-09,1.441551669405496e-06
37.0,-3.660379422418879e-09,3.8738608942234723e-07,1.1079709207597812e-08,-5.626080447165707e-07,,,,
38.0,-1.7147858601583701e-09,1.7197220651539758e-07,8.25408738026591e-09,1.4141204099002463e-06,-1.7147858601583701e-09,1.7197220651539758e-07,8.25408738026591e-09,1.4141204099002463e-06
39.0,-9.215404973684175e-10,-1.5643876940195435e-07,1.4776911505800181e-08,-4.995737173226465e-07,,,,
40.0,-1.6883884832576631e-09,-5.056831197787362e-07,1.232804860310281e-08,-1.2551485632735655e-06,-1.6883884832576631e-09,-5.056831197787362e-07,1.232804860310281e-08,-1.2551485632735655e-06
41.0,-4.520892580696307e-09,-3.1408796437667656e-07,5.297532239570248e-09,-3.6678566795132194e-07,,,,
