tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
36.0,0.004332411000177672,6.3808960471793464e-06,1.441551669405496e-06,2.8746407273587065e-09,6.221277922797505e-07,-7.201425676571176e-09
37.0,0.00569183100014925,-1.9972460945066063e-05,-5.626080447165707e-07,1.1079709207597812e-08,3.8738608942234723e-07,-3.660379422418879e-09
38.0,0.005022363000080077,-1.9972460945066063e-05,1.4141204099002463e-06,8.25408738026591e-09,1.7197220651539758e-07,-1.7147858601583701e-09
39.0,0.0046126370002639305,-3.5814618190730315e-05,-4.995737173226465e-07,1.4776911505800181e-08,-1.5643876940195435e-07,-9.215404973684175e-10
40.0,0.004901904999769613,-3.5814618190730315e-05,-1.2551485632735655e-06,1.232804860310281e-08,-5.056831197787362e-07,-1.6883884832576631e-09
41.0,0.005601341999863507,1.648011674458519e-05,-3.6678566795132194e-07,5.297532239570248e-09,-3.1408796437667656e-07,-4.520892580696307e-09
42.0,0.004925693000132014,1.648011674458519e-05,2.0189232390400155e-07,3.490858642393676e-09,-1.563784636228543e-07,-6.067993468252216e-09
43.0,0.004915649999929883,-1.2278624966513499e-05,-8.55673677761223e-07,4.483290644378225e-09,-2.7735641235880204e-07,-6.836695262948935e-09
44.0,0.004928058000132296,-1.2278624966513499e-05,-1.8593804947514668e-07,2.6648113118440555e-10,-8.401965704735088e-08,-8.203523749761722e-09
45.0,0.004878957000073569,1.8397161841017572e-06,-1.2053309809978776e-07,-6.40702616882387e-10,-4.8178443495965705e-08,-8.613452043656675e-09
46.0,0.004962657000305626,1.8397161841017572e-06,-9.034691814111302e-08,-1.2388670399358235e-09,-2.9727561898320662e-08,-8.852545133535757e-09
47.0,0.005105085000195686,1.1789860275125704e-06,-8.022861854497797e-07,-1.7000957365519272e-09,-3.4119949961391746e-07,-9.004306863875263e-09
48.0,0.004957202000241523,1.1789860275125704e-06,-4.075907221055382e-07,-5.677190419829716e-09,-2.0168535151810528e-07,-1.0695701705842781e-08
49.0,0.004566382000120939,4.5585512856844425e-06,1.0665492587290902e-06,-7.53840535666874e-09,4.5090210911076266e-07,-1.1616674064703122e-08
50.0,0.005409469999904104,4.5585512856844425e-06,5.909875007568361e-07,-1.7689391381537666e-09,6.135573113951709e-07,-9.177532632574964e-09
51.0,0.004592351999690436,4.796755749687691e-06,1.5927073454082134e-06,9.45083492738943e-10,6.513148393877855e-07,-6.359861486664663e-09
52.0,0.004943620999711129,4.796755749687691e-06,6.213982548565265e-07,8.818824971893152e-09,6.968993755725225e-07,-3.1400077692437257e-09
53.0,0.00567871599969294,6.027802060012361e-06,1.2898426743119874e-06,1.2347569183928181e-08,5.668996655655622e-07,8.174858649959769e-10
54.0,0.00438865900014207,6.027802060012361e-06,1.4735188494583406e-06,1.80082488453148e-08,6.335953582860775e-07,3.3054151844578107e-09
55.0,0.005523784000160958,-2.1673591766335275e-05,-4.913509436351511e-07,2.6147648689888368e-08,3.8605654900167403e-07,6.8052590871346956e-09
56.0,0.005371964999994816,-2.1673591766335275e-05,1.2631663819992439e-06,2.3508128617965912e-08,1.3882446054480895e-07,8.879141356390472e-09
57.0,0.004656776000047103,-3.3842273103081374e-05,8.771404428056558e-07,2.939041150972632e-08,3.77027058935558e-07,9.525615772475024e-09
58.0,0.004928934999952617,-3.3842273103081374e-05,-5.002831798872727e-07,3.3713779738145054e-08,7.693907741268215e-08,1.1383957639191694e-08
59.0,0.0046304679999593645,1.3940554482482106e-05,4.2635009241046514e-07,3.1397234482759124e-08,1.8122168581893636e-07,1.1740221575097515e-08
60.0,0.0048972390000017185,1.3940554482482106e-05,4.0096102066115364e-07,3.348517278296599e-08,2.5898364638073967e-07,1.2627707482536068e-08
61.0,0.005629314000088925,-5.474659845775266e-06,4.6236533649842606e-07,3.5742308270063765e-08,1.8839034624087954e-07,1.4085607748901245e-08
62.0,0.00489876399979039,-5.474659845775266e-06,7.206887011736679e-07,3.8007326935253224e-08,1.3315807174694896e-07,1.5008487594974115e-08
63.0,0.004740527999729238,-1.969733837920543e-05,-4.824120972124853e-07,4.1423771902255496e-08,-5.27833931718019e-08,1.5639727162480483e-08
64.0,0.0050402429997120635,-1.969733837920543e-05,-5.54164177174744e-07,3.899229770630385e-08,-2.481123353130263e-07,1.5373686034545258e-08
65.0,0.004799996000201645,3.3247080560384334e-06,-2.233395759616869e-07,3.633231187241004e-08,-2.0211787497111375e-07,1.4182747817442042e-08
