seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
0.0,1605889156.070858,122.0,0.003184080123901367,1605889156.074042,72.0
1.0,1605889156.08027,122.0,0.00036525726318359375,1605889156.0806353,72.0
2.0,1605889156.090426,122.0,0.0005609989166259766,1605889156.090987,72.0
3.0,1605889156.1003368,122.0,0.0005364418029785156,1605889156.1008732,72.0
4.0,1605889156.1104414,122.0,0.0005338191986083984,1605889156.1109753,72.0
5.0,1605889156.1203249,122.0,0.0004010200500488281,1605889156.1207259,72.0
6.0,1605889156.1304343,122.0,0.00040340423583984375,1605889156.1308377,72.0
7.0,1605889156.140327,122.0,0.00032258033752441406,1605889156.1406496,72.0
8.0,1605889156.1503491,122.0,0.00041365623474121094,1605889156.1507628,72.0
9.0,1605889156.1603043,122.0,0.0003628730773925781,1605889156.1606672,72.0
10.0,1605889156.1703246,122.0,0.00043129920959472656,1605889156.1707559,72.0
11.0,1605889156.1802816,122.0,0.0004131793975830078,1605889156.1806948,72.0
12.0,1605889156.1902883,122.0,0.00044727325439453125,1605889156.1907356,72.0
13.0,1605889156.2002587,122.0,0.0003361701965332031,1605889156.200595,72.0
14.0,1605889156.210261,122.0,0.0003898143768310547,1605889156.210651,72.0
15.0,1605889156.2204523,122.0,0.00047135353088378906,1605889156.2209237,72.0
16.0,1605889156.2304957,122.0,0.0006103515625,1605889156.231106,72.0
17.0,1605889156.2404926,122.0,0.0003867149353027344,1605889156.2408793,72.0
18.0,1605889156.2505062,122.0,0.0003955364227294922,1605889156.2509017,72.0
19.0,1605889156.2604504,122.0,0.0004444122314453125,1605889156.2608948,72.0
20.0,1605889156.2702932,122.0,0.0003249645233154297,1605889156.2706182,72.0
21.0,1605889156.28037,122.0,0.00040411949157714844,1605889156.280774,72.0
22.0,1605889156.2908545,122.0,0.0004456043243408203,1605889156.2913,72.0
23.0,1605889156.3005133,122.0,0.00034999847412109375,1605889156.3008633,72.0
24.0,1605889156.3103356,122.0,0.00043320655822753906,1605889156.3107688,72.0
