seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
0.0,1608063891.1564677,122.0,0.003335714340209961,1608063891.1598034,72.0
1.0,1608063891.1663275,122.0,0.0004303455352783203,1608063891.1667578,72.0
2.0,1608063891.1761885,122.0,0.00037980079650878906,1608063891.1765683,72.0
3.0,1608063891.1866817,122.0,0.0005702972412109375,1608063891.187252,72.0
4.0,1608063891.1970003,122.0,0.0004978179931640625,1608063891.197498,72.0
5.0,1608063891.2059355,122.0,0.0005197525024414062,1608063891.2064552,72.0
6.0,1608063891.2159452,122.0,0.00035190582275390625,1608063891.2162971,72.0
7.0,1608063891.2264977,122.0,0.0004086494445800781,1608063891.2269063,72.0
8.0,1608063891.2358978,122.0,0.0004246234893798828,1608063891.2363224,72.0
9.0,1608063891.2464643,122.0,0.0004563331604003906,1608063891.2469206,72.0
10.0,1608063891.2562041,122.0,0.0006124973297119141,1608063891.2568166,72.0
11.0,1608063891.2668273,122.0,0.00041866302490234375,1608063891.267246,72.0
12.0,1608063891.2766936,122.0,0.0004119873046875,1608063891.2771056,72.0
13.0,1608063891.2864265,122.0,0.0004954338073730469,1608063891.286922,72.0
14.0,1608063891.2963693,122.0,0.00033354759216308594,1608063891.2967029,72.0
15.0,1608063891.3062944,122.0,0.00036263465881347656,1608063891.306657,72.0
16.0,1608063891.3157878,122.0,0.0003409385681152344,1608063891.3161287,72.0
17.0,1608063891.3257442,122.0,0.0004410743713378906,1608063891.3261852,72.0
18.0,1608063891.3364964,122.0,0.000392913818359375,1608063891.3368893,72.0
19.0,1608063891.3460305,122.0,0.0003743171691894531,1608063891.3464048,72.0
20.0,1608063891.356995,122.0,0.00027441978454589844,1608063891.3572695,72.0
21.0,1608063891.3663945,122.0,0.00038123130798339844,1608063891.3667758,72.0
22.0,1608063891.3762252,122.0,0.0003647804260253906,1608063891.37659,72.0
23.0,1608063891.3863075,122.0,0.0003521442413330078,1608063891.3866596,72.0
24.0,1608063891.3962204,122.0,0.0003628730773925781,1608063891.3965833,72.0
25.0,1608063891.4058607,122.0,0.00038743019104003906,1608063891.406248,72.0
26.0,1608063891.4158437,122.0,0.0003142356872558594,1608063891.416158,72.0
27.0,1608063891.4267566,122.0,0.0003476142883300781,1608063891.4271042,72.0
28.0,1608063891.4363363,122.0,0.0004057884216308594,1608063891.436742,72.0
29.0,1608063891.4458616,122.0,0.0003409385681152344,1608063891.4462025,72.0
30.0,1608063891.4564028,122.0,0.0004398822784423828,1608063891.4568427,72.0
31.0,1608063891.4662035,122.0,0.0004584789276123047,1608063891.466662,72.0
32.0,1608063891.4759388,122.0,0.0004851818084716797,1608063891.476424,72.0
33.0,1608063891.486721,122.0,0.0005071163177490234,1608063891.4872282,72.0
34.0,1608063891.4965832,122.0,0.0005075931549072266,1608063891.4970908,72.0
35.0,1608063891.5064287,122.0,0.0005123615264892578,1608063891.506941,72.0
36.0,1608063891.5161078,122.0,0.0004563331604003906,1608063891.5165641,72.0
37.0,1608063891.5258672,122.0,0.0003960132598876953,1608063891.5262632,72.0
38.0,1608063891.536456,122.0,0.00036334991455078125,1608063891.5368195,72.0
39.0,1608063891.5460286,122.0,0.0003910064697265625,1608063891.5464196,72.0
40.0,1608063891.556464,122.0,0.00040268898010253906,1608063891.5568666,72.0
41.0,1608063891.566218,122.0,0.0005557537078857422,1608063891.5667737,72.0
42.0,1608063891.5761425,122.0,0.00045418739318847656,1608063891.5765967,72.0
43.0,1608063891.5857909,122.0,0.0003452301025390625,1608063891.586136,72.0
44.0,1608063891.5962358,122.0,0.00038170814514160156,1608063891.5966175,72.0
45.0,1608063891.6058242,122.0,0.0003795623779296875,1608063891.6062038,72.0
46.0,1608063891.6162338,122.0,0.0003681182861328125,1608063891.616602,72.0
47.0,1608063891.6266456,122.0,0.0003924369812011719,1608063891.627038,72.0
48.0,1608063891.636043,122.0,0.0003573894500732422,1608063891.6364005,72.0
49.0,1608063891.6462212,122.0,0.0003998279571533203,1608063891.646621,72.0
50.0,1608063891.6560779,122.0,0.00034737586975097656,1608063891.6564252,72.0
51.0,1608063891.66651,122.0,0.0003514289855957031,1608063891.6668615,72.0
52.0,1608063891.6762593,122.0,0.0003859996795654297,1608063891.6766453,72.0
53.0,1608063891.6866133,122.0,0.0002849102020263672,1608063891.6868982,72.0
54.0,1608063891.695821,122.0,0.0007407665252685547,1608063891.6965618,72.0
55.0,1608063891.7068021,122.0,0.00043392181396484375,1608063891.707236,72.0
56.0,1608063891.7163467,122.0,0.00034308433532714844,1608063891.7166898,72.0
57.0,1608063891.7263489,122.0,0.0004334449768066406,1608063891.7267823,72.0
58.0,1608063891.7366266,122.0,0.0003764629364013672,1608063891.737003,72.0
59.0,1608063891.7461073,122.0,0.0003337860107421875,1608063891.7464411,72.0
60.0,1608063891.7559998,122.0,0.00038933753967285156,1608063891.7563891,72.0
61.0,1608063891.7666087,122.0,0.0003666877746582031,1608063891.7669754,72.0
62.0,1608063891.776085,122.0,0.00031065940856933594,1608063891.7763956,72.0
63.0,1608063891.7870493,122.0,0.00029850006103515625,1608063891.7873478,72.0
64.0,1608063891.7963314,122.0,0.0003190040588378906,1608063891.7966504,72.0
65.0,1608063891.8060145,122.0,0.0003447532653808594,1608063891.8063593,72.0
66.0,1608063891.816441,122.0,0.0004475116729736328,1608063891.8168886,72.0
67.0,1608063891.825836,122.0,0.00037980079650878906,1608063891.8262157,72.0
68.0,1608063891.8366072,122.0,0.00045561790466308594,1608063891.8370628,72.0
69.0,1608063891.8461757,122.0,0.0003933906555175781,1608063891.846569,72.0
